time,open,high,low,close,volume
2023-12-12,15.76,15.79,15.65,15.79,3230408
2023-12-13,15.79,15.83,15.65,15.65,3933379
2023-12-14,15.72,15.97,15.65,15.79,6949441
2023-12-15,15.86,16.04,15.83,15.97,6195129
2023-12-18,15.93,16.0,15.9,16.0,6390775
2023-12-19,16.0,16.21,16.0,16.18,11476459
2023-12-20,16.18,16.32,16.18,16.28,8865596
2023-12-21,16.28,16.32,16.18,16.32,7087055
2023-12-22,16.28,16.35,16.28,16.28,4512456
2023-12-25,16.32,16.46,16.28,16.39,7586810
2023-12-26,16.42,16.42,16.32,16.32,5731233
2023-12-27,16.28,16.42,16.28,16.35,4869398
2023-12-28,16.35,16.81,16.35,16.67,10526964
2023-12-29,16.77,16.91,16.7,16.77,9202991
2024-01-02,16.81,17.37,16.81,17.16,13896933
2024-01-03,17.19,17.55,17.02,17.55,9817807
2024-01-04,17.69,18.0,17.62,17.76,23605373
2024-01-05,17.76,17.86,17.58,17.86,9282598
2024-01-08,18.04,18.07,17.69,17.79,12398885
2024-01-09,17.72,17.79,17.51,17.55,15455964
2024-01-10,17.69,17.9,17.55,17.72,17610661
2024-01-11,17.83,18.07,17.65,17.72,9941849
2024-01-12,17.65,18.39,17.58,18.11,25574880
2024-01-15,18.25,18.25,17.76,17.76,11725544
2024-01-16,17.83,17.93,17.58,17.83,12385822
2024-01-17,17.86,18.11,17.79,17.83,9720759
2024-01-18,17.86,18.07,17.79,17.97,9616784
2024-01-19,18.11,18.21,18.0,18.21,12778025
2024-01-22,18.39,18.46,18.11,18.46,12010820
2024-01-23,18.42,18.56,18.28,18.28,11738886
2024-01-24,18.28,18.32,18.04,18.11,11347376
2024-01-25,18.14,18.18,17.97,18.11,5090360
2024-01-26,18.14,18.53,18.14,18.46,6861782
2024-01-29,18.6,18.6,18.21,18.21,9281301
2024-01-30,18.28,18.39,18.18,18.21,6383741
2024-01-31,18.32,18.32,17.93,18.07,12162755
2024-02-01,18.04,18.32,18.04,18.25,6284328
2024-02-02,18.21,18.46,18.14,18.42,14534871
2024-02-05,18.42,19.65,18.35,19.51,28138723
2024-02-06,19.55,19.58,19.41,19.55,5454327
2024-02-07,19.55,19.79,19.55,19.65,11903453
2024-02-15,19.69,19.93,19.09,19.09,14255094
2024-02-16,19.3,19.37,19.16,19.37,9502568
2024-02-19,19.44,19.44,19.09,19.44,11864502
2024-02-20,19.3,19.48,19.19,19.34,7321603
2024-02-21,19.3,19.58,19.23,19.44,10257725
2024-02-22,19.44,19.48,19.3,19.41,7407861
2024-02-23,19.44,19.93,19.16,19.16,25987605
2024-02-26,19.16,19.44,19.02,19.3,9791428
2024-02-27,19.44,19.44,19.19,19.37,12061563
2024-02-28,19.41,19.65,19.34,19.65,10465608
2024-02-29,19.72,19.83,19.44,19.65,9960379
2024-03-01,19.65,19.65,19.34,19.51,10201609
2024-03-04,19.51,19.79,19.23,19.51,13224034
2024-03-05,19.51,19.65,19.34,19.62,6339771
2024-03-06,19.65,19.76,19.34,19.37,9799350
2024-03-07,19.37,19.44,19.23,19.3,10171157
2024-03-08,19.3,19.41,18.95,18.98,23024715
2024-03-11,18.98,19.02,18.7,18.77,12023089
2024-03-12,18.7,18.84,18.67,18.77,8318885
2024-03-13,18.77,19.41,18.77,19.41,8940425
2024-03-14,19.37,19.37,18.98,19.12,8232737
2024-03-15,19.12,19.23,18.95,19.19,7828640
2024-03-18,19.09,19.19,18.74,18.88,14127772
2024-03-19,18.81,18.98,18.77,18.84,7125247
2024-03-20,18.84,19.44,18.81,19.3,14010312
2024-03-21,19.44,19.65,19.34,19.65,12824070
2024-03-22,19.83,20.32,19.58,19.76,22688584
2024-03-25,19.69,19.69,19.3,19.3,10196791
2024-03-26,19.37,19.62,19.19,19.62,6287467
2024-03-27,19.62,19.69,19.37,19.65,5962845
2024-03-28,19.86,20.07,19.79,19.9,12429800
2024-03-29,19.93,20.11,19.76,20.0,13496333
2024-04-01,19.79,20.0,19.72,19.97,6180472
2024-04-02,19.86,19.93,19.58,19.93,10414778
2024-04-03,19.79,19.93,19.58,19.65,10205483
2024-04-04,19.69,19.69,19.34,19.34,11161719
2024-04-05,19.16,19.23,19.02,19.05,12293515
2024-04-08,19.05,19.12,18.91,19.05,6874403
2024-04-09,19.05,19.16,18.98,19.16,5374934
2024-04-10,19.26,19.37,19.02,19.02,5127160
2024-04-11,18.95,19.05,18.88,19.05,11290085
2024-04-12,19.09,19.65,18.95,19.65,9772642
2024-04-15,19.51,19.65,18.84,18.84,16263243
2024-04-16,18.84,19.05,18.77,19.05,17356891
2024-04-17,19.09,19.12,18.77,18.77,10485319
2024-04-19,18.67,18.81,18.56,18.67,10866833
2024-04-22,18.88,18.91,18.74,18.81,6317643
2024-04-23,18.81,18.91,18.63,18.7,8544832
2024-04-24,18.81,19.02,18.74,18.98,6684776
2024-04-25,18.95,18.98,18.77,18.81,5144590
2024-04-26,18.81,18.95,18.67,18.84,5446804
2024-05-02,18.84,19.05,18.81,18.95,4801959
2024-05-03,19.02,19.3,19.02,19.3,8722742
2024-05-06,19.3,19.44,19.19,19.37,7449978
2024-05-07,19.48,19.51,19.3,19.41,4305048
2024-05-08,19.3,19.41,19.16,19.34,4040821
2024-05-09,19.37,19.51,19.3,19.37,4105414
2024-05-10,19.37,19.44,19.26,19.44,4913057
2024-05-13,19.65,19.65,19.41,19.44,5555670
2024-05-14,19.44,19.58,19.41,19.48,4474265
2024-05-15,19.55,19.55,19.44,19.44,7807457
2024-05-16,19.65,19.93,19.51,19.83,30211993
2024-05-17,19.83,19.93,19.79,19.83,8509864
2024-05-20,20.0,20.04,19.79,19.83,9339952
2024-05-21,19.83,19.86,19.55,19.79,10828854
2024-05-22,19.79,19.83,19.58,19.62,9288338
2024-05-23,19.65,20.0,19.65,19.97,10454272
2024-05-24,19.97,21.19,19.83,20.53,33867112
2024-05-27,20.7,20.95,20.53,20.67,7541858
2024-05-28,20.84,20.84,20.56,20.81,10694176
2024-05-29,20.84,20.88,20.53,20.53,13456310
2024-05-30,20.46,20.63,20.25,20.63,13118384
2024-05-31,20.89,21.14,20.6,20.6,11139289
2024-06-03,20.76,20.85,20.55,20.72,16257238
2024-06-04,20.72,20.72,20.43,20.47,9735560
2024-06-05,20.68,20.68,20.3,20.34,10801981
2024-06-06,20.39,20.47,20.3,20.34,8033240
2024-06-07,20.51,20.6,20.3,20.55,5892570
2024-06-10,20.55,20.64,20.3,20.39,7679882
2024-06-11,20.39,20.43,20.14,20.18,9213280
2024-06-12,20.18,20.51,19.97,20.51,10400953
2024-06-13,20.51,20.8,20.39,20.72,11727801
2024-06-14,20.64,20.8,20.55,20.55,11049165
2024-06-17,20.55,20.55,20.26,20.51,6375848
2024-06-18,20.64,20.64,20.39,20.51,5729760
2024-06-19,20.51,20.64,20.26,20.6,7618993
2024-06-20,20.51,20.76,20.39,20.72,10178313
2024-06-21,20.76,20.76,20.47,20.51,5126289
2024-06-24,20.55,20.55,19.97,20.14,14225312
2024-06-25,20.05,20.22,19.97,20.09,6708386
2024-06-26,20.05,20.14,19.72,20.14,10145262
2024-06-27,20.05,20.14,19.88,20.01,4904878
2024-06-28,19.88,20.05,19.84,19.88,5755042
2024-07-01,19.88,19.93,19.72,19.88,3938961
2024-07-02,19.88,20.14,19.8,20.09,5701649
2024-07-03,20.18,20.39,20.01,20.26,5854818
2024-07-04,20.3,20.34,20.01,20.18,6394551
2024-07-05,20.18,20.3,20.05,20.3,6357111
2024-07-08,20.3,20.34,20.14,20.26,4959392
2024-07-09,20.18,20.39,20.09,20.3,8004908
2024-07-10,20.47,20.47,20.26,20.26,6484698
2024-07-11,20.34,20.34,20.18,20.18,5001133
2024-07-12,20.14,20.18,19.88,20.05,7160694
2024-07-15,20.05,20.09,19.97,20.01,4490958
2024-07-16,20.05,20.3,20.01,20.14,7002765
2024-07-17,20.3,21.05,20.22,20.47,28924392
2024-07-18,20.47,20.97,20.47,20.72,10670220
2024-07-19,20.72,21.14,20.6,20.97,17087130
2024-07-22,20.97,21.05,20.6,20.68,15163392
2024-07-23,20.72,20.8,20.05,20.05,15116634
2024-07-24,20.05,20.39,19.88,20.22,12261810
2024-07-25,20.18,20.18,19.88,20.09,7164193
2024-07-26,20.14,20.18,20.05,20.14,3453662
2024-07-29,20.3,20.3,20.09,20.18,4109383
2024-07-30,20.05,20.18,20.01,20.18,5494866
2024-07-31,20.22,20.51,20.14,20.51,8556266
2024-08-01,20.47,20.55,20.01,20.01,9183311
2024-08-02,19.97,20.05,19.76,20.01,13718492
2024-08-05,19.72,19.93,19.34,19.38,20100624
2024-08-06,19.63,19.76,19.43,19.63,8029731
2024-08-07,19.72,19.72,19.47,19.55,4407675
2024-08-08,19.43,19.63,19.43,19.43,3655058
2024-08-09,19.55,19.72,19.47,19.72,3012436
2024-08-12,19.72,19.88,19.47,19.88,4203077
2024-08-13,19.68,19.88,19.63,19.72,2854856
2024-08-14,19.8,19.88,19.68,19.68,3321023
2024-08-15,19.68,19.72,19.59,19.63,2660430
2024-08-16,19.63,20.05,19.63,20.05,6524010
2024-08-19,20.05,20.18,20.01,20.09,3843540
2024-08-20,20.09,20.3,20.05,20.14,5422431
2024-08-21,20.09,20.39,20.09,20.39,6563393
2024-08-22,20.47,20.51,20.3,20.39,6795952
2024-08-23,20.39,20.47,20.26,20.43,3899558
2024-08-26,20.51,20.51,20.39,20.43,4928433
2024-08-27,20.43,20.47,20.39,20.43,4159515
2024-08-28,20.47,20.51,20.39,20.47,5228038
2024-08-29,20.51,20.8,20.51,20.6,8594985
2024-08-30,20.6,20.72,20.6,20.72,4489249
2024-09-04,20.47,20.64,20.43,20.6,5639763
2024-09-05,20.6,20.64,20.43,20.47,3540918
2024-09-06,20.47,20.55,20.43,20.55,5008937
2024-09-09,20.51,20.55,20.3,20.43,4691162
2024-09-10,20.43,20.51,20.14,20.26,6138609
2024-09-11,20.18,20.26,20.14,20.18,3589050
2024-09-12,20.26,20.47,20.22,20.43,2621199
2024-09-13,20.39,20.43,20.26,20.39,2374108
2024-09-16,20.39,20.51,20.18,20.18,3717063
2024-09-17,20.18,20.47,20.14,20.47,4081633
2024-09-18,20.47,20.68,20.34,20.6,8725286
2024-09-19,20.68,20.76,20.55,20.72,5224618
2024-09-20,20.8,21.56,20.8,21.43,34336295
2024-09-23,21.47,21.72,21.39,21.43,8585132
2024-09-24,21.43,21.56,21.22,21.56,12786286
2024-09-25,21.72,21.89,21.56,21.89,23028936
2024-09-26,21.97,22.02,21.72,21.72,18186603
2024-09-27,21.72,22.06,21.64,21.64,10816416
2024-09-30,21.47,21.68,21.47,21.51,8463727
2024-10-01,21.51,21.85,21.51,21.51,10417047
2024-10-02,21.47,21.81,21.39,21.56,10118989
2024-10-03,21.68,21.97,21.47,21.47,14808112
2024-10-04,21.47,21.51,21.22,21.22,8670214
2024-10-07,21.31,21.47,21.18,21.26,6775964
2024-10-08,21.31,21.43,21.18,21.31,6528035
2024-10-09,21.39,21.93,21.35,21.93,20014266
2024-10-10,22.06,22.14,21.76,21.89,9087762
2024-10-11,21.81,21.85,21.64,21.81,6565661
2024-10-14,21.85,21.93,21.68,21.68,9033561
2024-10-15,21.68,21.89,21.56,21.6,7115715
2024-10-16,21.51,21.6,21.39,21.51,5401467
2024-10-17,21.64,21.85,21.51,21.85,9200056
2024-10-18,21.93,22.14,21.68,21.81,11497656
2024-10-21,21.72,21.81,21.56,21.56,5537752
2024-10-22,21.56,21.6,21.22,21.22,12123912
2024-10-23,21.22,21.35,21.01,21.22,7707474
2024-10-24,21.22,21.26,20.89,20.89,8933983
2024-10-25,20.89,20.97,20.76,20.8,9226582
2024-10-28,20.8,21.01,20.68,21.01,5000754
2024-10-29,21.14,21.14,20.97,21.05,4181333
2024-10-30,21.05,21.1,20.85,20.97,3876354
2024-10-31,20.97,21.26,20.93,21.22,5077809
2024-11-01,21.14,21.22,20.8,20.8,7860339
2024-11-04,20.89,20.93,20.6,20.68,9123996
2024-11-05,20.72,20.8,20.68,20.68,3068254
2024-11-06,20.8,21.05,20.72,20.97,6246056
2024-11-07,21.05,21.14,20.8,20.97,4846687
2024-11-08,20.97,21.05,20.68,20.8,8226830
2024-11-11,20.8,20.89,20.6,20.76,6748424
2024-11-12,20.72,20.85,20.6,20.76,4147541
2024-11-13,20.72,20.8,20.55,20.8,6394310
2024-11-14,20.6,20.76,20.51,20.51,5798457
2024-11-15,20.51,20.55,20.3,20.39,9284110
2024-11-18,20.39,20.55,20.14,20.47,8112732
2024-11-19,20.47,20.51,20.3,20.3,5787839
2024-11-20,20.22,20.51,20.18,20.47,6242481
2024-11-21,20.47,20.76,20.26,20.76,7585401
2024-11-22,20.76,20.85,20.6,20.85,5698260
2024-11-25,20.85,20.89,20.72,20.8,4112332
2024-11-26,20.8,20.97,20.76,20.89,3562709
2024-11-27,20.85,21.05,20.85,20.93,2748008
2024-11-28,21.01,21.05,20.85,21.01,4596147
2024-11-29,21.01,21.05,20.89,21.05,3883425
2024-12-02,21.1,21.18,20.93,21.01,2490927
2024-12-03,21.05,21.05,20.85,20.89,6131057
2024-12-04,20.85,20.93,20.76,20.93,4619546
2024-12-05,20.89,21.47,20.85,21.47,8272544
2024-12-06,21.31,21.51,21.31,21.43,6054365
2024-12-09,21.39,21.43,21.18,21.31,5418974
2024-12-10,21.31,21.31,21.18,21.18,3403008
2024-12-11,21.18,21.31,21.05,21.22,8832805
2024-12-12,21.22,21.31,21.1,21.14,5867353
2024-12-13,21.14,21.14,20.97,21.01,6044475
2024-12-16,21.01,21.1,20.93,21.01,5165719
2024-12-17,21.1,21.1,20.93,21.05,3331723
2024-12-18,21.1,21.1,20.97,21.01,3385137
2024-12-19,20.93,20.93,20.64,20.72,9720556
2024-12-20,20.76,20.8,20.68,20.72,4729595
2024-12-23,20.76,20.85,20.72,20.8,3469073
2024-12-24,20.8,20.89,20.72,20.89,3233697
2024-12-25,20.89,21.39,20.85,21.26,9518178
2024-12-26,21.26,21.35,21.22,21.35,5583577
2024-12-27,21.39,21.47,21.31,21.35,7694895
2024-12-30,21.18,21.43,21.18,21.22,5004572
2024-12-31,21.22,21.56,21.18,21.56,8844727
