time,open,high,low,close,volume,return_1d,ma_5,ma_20,ma_50,volume_ma_20
2023-12-12,15.76,15.79,15.65,15.79,3230408,,,,,
2023-12-13,15.79,15.83,15.65,15.65,3933379,-0.008866371120962557,,,,
2023-12-14,15.72,15.97,15.65,15.79,6949441,0.008945686900958316,,,,
2023-12-15,15.86,16.04,15.83,15.97,6195129,0.011399620012666256,,,,
2023-12-18,15.93,16.0,15.9,16.0,6390775,0.0018785222291797243,15.84,,,
2023-12-19,16.0,16.21,16.0,16.18,11476459,0.011249999999999982,15.918000000000001,,,
2023-12-20,16.18,16.32,16.18,16.28,8865596,0.006180469715698411,16.044,,,
2023-12-21,16.28,16.32,16.18,16.32,7087055,0.002457002457002311,16.15,,,
2023-12-22,16.28,16.35,16.28,16.28,4512456,-0.002450980392156854,16.212,,,
2023-12-25,16.32,16.46,16.28,16.39,7586810,0.006756756756756799,16.29,,,
2023-12-26,16.42,16.42,16.32,16.32,5731233,-0.004270896888346587,16.318,,,
2023-12-27,16.28,16.42,16.28,16.35,4869398,0.0018382352941177516,16.332,,,
2023-12-28,16.35,16.81,16.35,16.67,10526964,0.01957186544342515,16.402,,,
2023-12-29,16.77,16.91,16.7,16.77,9202991,0.005998800239951807,16.5,,,
2024-01-02,16.81,17.37,16.81,17.16,13896933,0.023255813953488413,16.654,,,
2024-01-03,17.19,17.55,17.02,17.55,9817807,0.022727272727272707,16.9,,,
2024-01-04,17.69,18.0,17.62,17.76,23605373,0.011965811965811923,17.182,,,
2024-01-05,17.76,17.86,17.58,17.86,9282598,0.005630630630630407,17.419999999999998,,,
2024-01-08,18.04,18.07,17.69,17.79,12398885,-0.003919372900335949,17.624000000000002,,,
2024-01-09,17.72,17.79,17.51,17.55,15455964,-0.013490725126475422,17.702,16.6215,,9050782.7
2024-01-10,17.69,17.9,17.55,17.72,17610661,0.009686609686609504,17.736,16.718,,9769795.35
2024-01-11,17.83,18.07,17.65,17.72,9941849,0.0,17.728,16.8215,,10070218.85
2024-01-12,17.65,18.39,17.58,18.11,25574880,0.02200902934537252,17.778,16.9375,,11001490.8
2024-01-15,18.25,18.25,17.76,17.76,11725544,-0.019326339039204776,17.772,17.027,,11278011.55
2024-01-16,17.83,17.93,17.58,17.83,12385822,0.003941441441441151,17.828,17.1185,,11577763.9
2024-01-17,17.86,18.11,17.79,17.83,9720759,0.0,17.85,17.201,,11489978.9
2024-01-18,17.86,18.07,17.79,17.97,9616784,0.007851934941110583,17.9,17.2855,,11527538.3
2024-01-19,18.11,18.21,18.0,18.21,12778025,0.013355592654424209,17.919999999999998,17.38,,11812086.8
2024-01-22,18.39,18.46,18.11,18.46,12010820,0.013728720483251022,18.06,17.489,,12187005.0
2024-01-23,18.42,18.56,18.28,18.28,11738886,-0.009750812567713929,18.15,17.5835,,12394608.8
2024-01-24,18.28,18.32,18.04,18.11,11347376,-0.009299781181619338,18.206,17.673,,12675415.95
2024-01-25,18.14,18.18,17.97,18.11,5090360,0.0,18.234,17.761000000000003,,12686464.05
2024-01-26,18.14,18.53,18.14,18.46,6861782,0.019326339039204887,18.284,17.8505,,12503204.95
2024-01-29,18.6,18.6,18.21,18.21,9281301,-0.013542795232936111,18.234,17.9225,,12507120.45
2024-01-30,18.28,18.39,18.18,18.21,6383741,0.0,18.22,17.975,,12131460.85
2024-01-31,18.32,18.32,17.93,18.07,12162755,-0.007688083470620555,18.212,18.000999999999998,,12248708.25
2024-02-01,18.04,18.32,18.04,18.25,6284328,0.009961261759822815,18.240000000000002,18.0255,,11382656.0
2024-02-02,18.21,18.46,18.14,18.42,14534871,0.009315068493150669,18.232000000000003,18.0535,,11645269.65
2024-02-05,18.42,19.65,18.35,19.51,28138723,0.05917480998914226,18.492,18.1395,,12432261.55
2024-02-06,19.55,19.58,19.41,19.55,5454327,0.002050230650948226,18.76,18.2395,,11932179.7
2024-02-07,19.55,19.79,19.55,19.65,11903453,0.005115089514066362,19.076,18.336000000000002,,11646819.3
2024-02-15,19.69,19.93,19.09,19.09,14255094,-0.02849872773536888,19.244,18.404500000000002,,11862481.55
2024-02-16,19.3,19.37,19.16,19.37,9502568,0.014667365112624564,19.434,18.467499999999998,,11058865.95
2024-02-19,19.44,19.44,19.09,19.44,11864502,0.0036138358286008643,19.419999999999998,18.551499999999997,,11065813.85
2024-02-20,19.3,19.48,19.19,19.34,7321603,-0.0051440329218107594,19.378,18.627000000000002,,10812602.9
2024-02-21,19.3,19.58,19.23,19.44,10257725,0.005170630816959676,19.336000000000002,18.707500000000003,,10839451.2
2024-02-22,19.44,19.48,19.3,19.41,7407861,-0.0015432098765432167,19.4,18.779500000000002,,10729005.05
2024-02-23,19.44,19.93,19.16,19.16,25987605,-0.01287995878413184,19.357999999999997,18.827,,11389484.05
2024-02-26,19.16,19.44,19.02,19.3,9791428,0.007306889352818313,19.330000000000002,18.869,,11278514.45
2024-02-27,19.44,19.44,19.19,19.37,12061563,0.0036269430051814044,19.336000000000002,18.9235,17.8158,11294648.3
2024-02-28,19.41,19.65,19.34,19.65,10465608,0.01445534331440368,19.378,19.0005,17.893,11250559.9
2024-02-29,19.72,19.83,19.44,19.65,9960379,0.0,19.426,19.0775,17.973,11494060.85
2024-03-01,19.65,19.65,19.34,19.51,10201609,-0.007124681933842081,19.496000000000002,19.130000000000003,18.0474,11661052.2
2024-03-04,19.51,19.79,19.23,19.51,13224034,0.0,19.538,19.195,18.118199999999998,11858188.85
2024-03-05,19.51,19.65,19.34,19.62,6339771,0.0056381342901075104,19.588,19.2655,18.1906,11855990.35
2024-03-06,19.65,19.76,19.34,19.37,9799350,-0.012742099898063186,19.532,19.3305,18.2544,11737820.1
2024-03-07,19.37,19.44,19.23,19.3,10171157,-0.0036138358286009753,19.462,19.383000000000003,18.3148,11932161.55
2024-03-08,19.3,19.41,18.95,18.98,23024715,-0.016580310880829008,19.356,19.410999999999998,18.368,12356653.75
2024-03-11,18.98,19.02,18.7,18.77,12023089,-0.011064278187565946,19.208000000000002,19.374000000000002,18.4178,11550872.05
2024-03-12,18.7,18.84,18.67,18.77,8318885,0.0,19.038,19.335,18.4654,11694099.95
2024-03-13,18.77,19.41,18.77,19.41,8940425,0.03409696323921163,19.046,19.323,18.5272,11545948.55
2024-03-14,19.37,19.37,18.98,19.12,8232737,-0.014940752189592899,19.009999999999998,19.3245,18.5826,11244830.7
2024-03-15,19.12,19.23,18.95,19.19,7828640,0.0036610878661087476,19.052,19.315500000000004,18.633,11161134.3
2024-03-18,19.09,19.19,18.74,18.88,14127772,-0.01615424700364787,19.074,19.2875,18.6752,11274297.8
2024-03-19,18.81,18.98,18.77,18.84,7125247,-0.0021186440677966045,19.088,19.2625,18.7088,11264480.0
2024-03-20,18.84,19.44,18.81,19.3,14010312,0.02441613588110414,19.066000000000003,19.2555,18.7438,11452109.35
2024-03-21,19.44,19.65,19.34,19.65,12824070,0.018134715025906578,19.172,19.2675,18.7816,11722919.8
2024-03-22,19.83,20.32,19.58,19.76,22688584,0.005597964376590436,19.286,19.2975,18.8196,11557968.75
2024-03-25,19.69,19.69,19.3,19.3,10196791,-0.02327935222672073,19.37,19.2975,18.849800000000002,11578236.9
2024-03-26,19.37,19.62,19.19,19.62,6287467,0.01658031088082912,19.526000000000003,19.31,18.8912,11289532.1
2024-03-27,19.62,19.69,19.37,19.65,5962845,0.001529051987767538,19.596,19.310000000000002,18.9298,11064393.95
2024-03-28,19.86,20.07,19.79,19.9,12429800,0.012722646310432628,19.646,19.322499999999998,18.973399999999998,11187865.0
2024-03-29,19.93,20.11,19.76,20.0,13496333,0.005025125628140836,19.694,19.347,19.0112,11352601.2
2024-04-01,19.79,20.0,19.72,19.97,6180472,-0.0015000000000000568,19.828,19.369999999999997,19.0554,11000423.1
2024-04-02,19.86,19.93,19.58,19.93,10414778,-0.0020030045067600533,19.889999999999997,19.3855,19.0974,11204173.45
2024-04-03,19.79,19.93,19.58,19.65,10205483,-0.014049172102358343,19.89,19.3995,19.1338,11224480.1
2024-04-04,19.69,19.69,19.34,19.34,11161719,-0.01577608142493636,19.778,19.4015,19.1612,11274008.2
2024-04-05,19.16,19.23,19.02,19.05,12293515,-0.01499482936918295,19.588,19.405,19.178,10737448.2
2024-04-08,19.05,19.12,18.91,19.05,6874403,0.0,19.404,19.419,19.1898,10480013.9
2024-04-09,19.05,19.16,18.98,19.16,5374934,0.005774278215223028,19.25,19.438499999999998,19.2074,10332816.35
2024-04-10,19.26,19.37,19.02,19.02,5127160,-0.007306889352818424,19.124000000000002,19.419,19.2256,10142153.1
2024-04-11,18.95,19.05,18.88,19.05,11290085,0.001577287066246047,19.066,19.415499999999998,19.2444,10295020.5
2024-04-12,19.09,19.65,18.95,19.65,9772642,0.03149606299212593,19.186,19.438499999999998,19.2682,10392220.6
2024-04-15,19.51,19.65,18.84,18.84,16263243,-0.04122137404580151,19.144,19.4365,19.2808,10498994.15
2024-04-16,18.84,19.05,18.77,19.05,17356891,0.011146496815286566,19.122,19.447,19.297600000000003,11010576.35
2024-04-17,19.09,19.12,18.77,18.77,10485319,-0.014698162729658848,19.072000000000003,19.420499999999997,19.311600000000002,10834326.7
2024-04-19,18.67,18.81,18.56,18.67,10866833,-0.005327650506126713,18.996,19.3715,19.32,10736464.85
2024-04-22,18.88,18.91,18.74,18.81,6317643,0.007498660953401126,18.828,19.324,19.327800000000003,9917917.8
2024-04-23,18.81,18.91,18.63,18.7,8544832,-0.005847953216374213,18.8,19.294,19.311600000000002,9835319.85
2024-04-24,18.81,19.02,18.74,18.98,6684776,0.01497326203208571,18.786,19.262,19.3002,9855185.3
2024-04-25,18.95,18.98,18.77,18.81,5144590,-0.008956796628029617,18.794,19.22,19.2834,9814272.55
2024-04-26,18.81,18.95,18.67,18.84,5446804,0.0015948963317384823,18.828,19.166999999999998,19.278399999999998,9465122.75
2024-05-02,18.84,19.05,18.81,18.95,4801959,0.0058386411889597145,18.856,19.1145,19.27,9030404.05
2024-05-03,19.02,19.3,19.02,19.3,8722742,0.018469656992084582,18.976,19.081,19.2672,9157517.55
2024-05-06,19.3,19.44,19.19,19.37,7449978,0.0036269430051814044,19.054,19.053,19.2678,9009277.55
2024-05-07,19.48,19.51,19.3,19.41,4305048,0.0020650490449147796,19.174,19.041,19.2672,8714255.8
2024-05-08,19.3,19.41,19.16,19.34,4040821,-0.003606388459556964,19.274,19.041,19.2658,8358210.9
2024-05-09,19.37,19.51,19.3,19.37,4105414,0.0015511892450879028,19.358,19.057,19.27,7948805.85
2024-05-10,19.37,19.44,19.26,19.44,4913057,0.0036138358286008643,19.386000000000003,19.0765,19.272800000000004,7850738.55
2024-05-13,19.65,19.65,19.41,19.44,5555670,0.0,19.4,19.0905,19.2742,7859775.35
2024-05-14,19.44,19.58,19.41,19.48,4474265,0.002057613168724215,19.414,19.1135,19.270799999999998,7827130.6
2024-05-15,19.55,19.55,19.44,19.44,7807457,-0.002053388090349051,19.434,19.133000000000003,19.2666,7652999.2
2024-05-16,19.65,19.93,19.51,19.83,30211993,0.020061728395061484,19.526,19.142,19.273,8674966.75
2024-05-17,19.83,19.93,19.79,19.83,8509864,0.0,19.604,19.1915,19.2794,8287297.8
2024-05-20,20.0,20.04,19.79,19.83,9339952,0.0,19.682,19.2305,19.2836,7886450.85
2024-05-21,19.83,19.86,19.55,19.79,10828854,-0.0020171457387795355,19.744,19.2815,19.292,7903627.6
2024-05-22,19.79,19.83,19.58,19.62,9288338,-0.008590197069226813,19.78,19.329,19.2984,7824702.85
2024-05-23,19.65,20.0,19.65,19.97,10454272,0.01783893985728846,19.808,19.387,19.3182,8031534.3
2024-05-24,19.97,21.19,19.83,20.53,33867112,0.028042063094642078,19.948,19.4785,19.3534,9297648.3
2024-05-27,20.7,20.95,20.53,20.67,7541858,0.006819288845591798,20.116000000000003,19.563,19.3914,9340502.4
2024-05-28,20.84,20.84,20.56,20.81,10694176,0.006773101112723667,20.32,19.663,19.4194,9617981.7
2024-05-29,20.84,20.88,20.53,20.53,13456310,-0.013455069678039333,20.502,19.747500000000002,19.4476,10018457.0
2024-05-30,20.46,20.63,20.25,20.63,13118384,0.004870920603994078,20.633999999999997,19.8315,19.4764,10434278.25
2024-05-31,20.89,21.14,20.6,20.6,11139289,-0.0014541929229276995,20.648,19.8965,19.510800000000003,10555105.6
2024-06-03,20.76,20.85,20.55,20.72,16257238,0.005825242718446422,20.657999999999998,19.964000000000002,19.5484,10995468.6
2024-06-04,20.72,20.72,20.43,20.47,9735560,-0.012065637065637014,20.59,20.017,19.5718,11266994.2
2024-06-05,20.68,20.68,20.3,20.34,10801981,-0.006350757205666802,20.552,20.067,19.5856,11605052.2
2024-06-06,20.39,20.47,20.3,20.34,8033240,0.0,20.494,20.1155,19.5972,11801443.5
2024-06-07,20.51,20.6,20.3,20.55,5892570,0.010324483775811188,20.484,20.171,19.6222,11850419.15
2024-06-10,20.55,20.64,20.3,20.39,7679882,-0.007785888077858849,20.418,20.2185,19.6376,11956629.75
2024-06-11,20.39,20.43,20.14,20.18,9213280,-0.010299166257969672,20.36,20.2535,19.648200000000003,12193580.5
2024-06-12,20.18,20.51,19.97,20.51,10400953,0.016352824578790948,20.394,20.307,19.660400000000003,12323255.3
2024-06-13,20.51,20.8,20.39,20.72,11727801,0.010238907849829282,20.47,20.3515,19.6748,11399045.7
2024-06-14,20.64,20.8,20.55,20.55,11049165,-0.00820463320463316,20.47,20.3875,19.686400000000003,11526010.75
2024-06-17,20.55,20.55,20.26,20.51,6375848,-0.001946472019464629,20.494,20.4215,19.698,11377805.55
2024-06-18,20.64,20.64,20.39,20.51,5729760,0.0,20.560000000000002,20.457500000000003,19.7152,11122850.85
2024-06-19,20.51,20.64,20.26,20.6,7618993,0.004388103364212581,20.578,20.506500000000003,19.7404,11039383.6
2024-06-20,20.51,20.76,20.39,20.72,10178313,0.005825242718446422,20.578,20.544,19.7738,11025585.65
2024-06-21,20.76,20.76,20.47,20.51,5126289,-0.010135135135134976,20.57,20.543,19.803,9588544.5
2024-06-24,20.55,20.55,19.97,20.14,14225312,-0.018039980497318475,20.496000000000002,20.5165,19.8226,9922717.2
2024-06-25,20.05,20.22,19.97,20.09,6708386,-0.0024826216484608032,20.412,20.4805,19.843999999999998,9723427.7
2024-06-26,20.05,20.14,19.72,20.14,10145262,0.002488800398208202,20.32,20.461,19.8658,9557875.3
2024-06-27,20.05,20.14,19.88,20.01,4904878,-0.006454816285997977,20.178000000000004,20.43,19.873,9147200.0
2024-06-28,19.88,20.05,19.84,19.88,5755042,-0.006496751624188057,20.052,20.394,19.893800000000002,8877987.65
2024-07-01,19.88,19.93,19.72,19.88,3938961,0.0,20.0,20.351999999999997,19.9104,8262073.8
2024-07-02,19.88,20.14,19.8,20.09,5701649,0.010563380281690238,20.0,20.333000000000002,19.936799999999998,8060378.25
